Language,Section,Type,Text
English,summary,title,"Summary of laboratory data for Week 7 (week ending February 15, 2025)"
English,summary,text,"In week 7 (week ending February 15, 2025) in Canada, percent positivity is currently highest for influenza (26.9% positive) among respiratory viruses under surveillance. The following results were reported from RVDSS laboratories:"
English,category1,title,Influenza (includes influenza A and B)
English,category1,listitem1,"Influenza percent positivity continues to increase (11,790 detections; 26.9% positive)."
English,category2,title,SARS-CoV-2 (the virus which causes COVID-19)
English,category2,listitem1,"National SARS-CoV-2 percent positivity continues to decrease (1,750 detections; 4.0% positive)."
English,category3,title,RSV (respiratory syncytial virus)
English,category3,listitem1,"National RSV percent positivity continues to decrease (1,938 detections; 4.9% positive)."
English,category4,title,Other respiratory viruses
English,category4,listitem1,Percent positivity of all other respiratory viruses is following historically observed trends.
English,category5,title,Number of reporting laboratories
English,category5,listitem1,34 out of 35 laboratories reported surveillance data.
French,summary,title,RÃ©sumÃ© des donnÃ©es de laboratoire pour la semaine 7 (semaine se terminant le 15 fÃ©vrier 2025)
French,summary,text,"Au cours de la semaine 7 (se terminant le 15 fÃ©vrier 2025) au Canada, le pourcentage de positivitÃ© est actuellement le plus Ã©levÃ© pour la grippe (26,9 % positifs) parmi les virus respiratoires sous surveillance. Les rÃ©sultats suivants ont Ã©tÃ© rapportÃ©s par les laboratoires du SSDVR :"
French,category1,title,La grippe (incluant la grippe A et B)
French,category1,listitem1,"Le pourcentage de positivitÃ© pour la grippe continue dâaugmenter (11 790 dÃ©tections; 26,9 % positifs)."
French,category2,title,SRAS-CoV-2 (le virus Ã  lâorigine de la COVID-19)
French,category2,listitem1,"Le pourcentage de positivitÃ© national pour le SRAS-CoV-2 continue de diminuer (1 750 dÃ©tections; 4,0 % positifs)."
French,category3,title,Le VRS (virus respiratoire syncytial)
French,category3,listitem1,"Le pourcentage de positivitÃ© national du VRS continue de diminuer (1 938 dÃ©tections; 4,9 % positifs)."
French,category4,title,Autres virus respiratoires
French,category4,listitem1,Le pourcentage de positivitÃ© de tous les autres virus respiratoires suit les tendances historiques observÃ©es.
French,category5,title,Nombre de laboratoires dÃ©clarants
French,category5,listitem1,Nombre de laboratoires qui ont fait Ã©tat de la situation : 34 sur 35
