epiweek,time_value,hpiv_positive_tests,adv_positive_tests,hmpv_positive_tests,evrv_positive_tests,hcov_positive_tests,rsv_positive_tests,geo_value,geo_type,issue
201635,2016-09-03,49,26,11,230,5,250,ca,nation,2017-01-25
201636,2016-09-10,23,22,5,246,4,18,ca,nation,2017-01-25
201637,2016-09-17,50,24,2,359,7,29,ca,nation,2017-01-25
201638,2016-09-24,60,33,5,429,21,31,ca,nation,2017-01-25
201639,2016-10-01,47,28,3,511,10,35,ca,nation,2017-01-25
201640,2016-10-08,46,38,7,499,18,41,ca,nation,2017-01-25
201641,2016-10-15,60,37,5,402,11,47,ca,nation,2017-01-25
201642,2016-10-22,70,39,7,421,20,71,ca,nation,2017-01-25
201643,2016-10-29,104,44,4,364,40,72,ca,nation,2017-01-25
201644,2016-11-05,91,33,10,363,48,125,ca,nation,2017-01-25
201645,2016-11-12,97,65,19,491,68,182,ca,nation,2017-01-25
201646,2016-11-19,133,77,15,501,91,225,ca,nation,2017-01-25
201647,2016-11-26,133,85,20,422,90,375,ca,nation,2017-01-25
201648,2016-12-03,137,117,29,387,134,478,ca,nation,2017-01-25
201649,2016-12-10,147,90,28,410,178,667,ca,nation,2017-01-25
201650,2016-12-17,168,105,60,339,220,819,ca,nation,2017-01-25
201651,2016-12-24,160,100,70,347,274,1125,ca,nation,2017-01-25
201652,2016-12-31,173,87,85,232,276,1314,ca,nation,2017-01-25
201701,2017-01-07,206,101,132,288,416,1632,ca,nation,2017-01-25
201702,2017-01-14,209,100,149,307,504,1626,ca,nation,2017-01-25
201703,2017-01-21,146,76,168,206,427,1570,ca,nation,2017-01-25
